Komponente,Zusatztext,Bezeichnung,Bezeichner
Zentrale 1;Laurentiushaus;Z/1;
Meldergruppe 1828;;S/1828;Haus2.1828
Meldergruppe 1829;;S/1829;Haus2.1829
Meldergruppe 1830;;S/1830;Haus2.1830
Meldergruppe 1831;;S/1831;Haus2.1831
Meldergruppe 1832;;S/1832;Haus2.1832
Meldergruppe 1833;;S/1833;Haus2.1833
Meldergruppe 1834;;S/1834;Haus2.1834
Meldergruppe 1835;;S/1835;Haus2.1835
Meldergruppe 1836;;S/1836;Haus2.1836
Meldergruppe 1837;;S/1837;Haus2.1837
Meldergruppe 1838;;S/1838;Haus2.1838
Meldergruppe 1839;;S/1839;Haus2.1839
Meldergruppe 1840;;S/1840;Haus2.1840
Meldergruppe 1841;;S/1841;Haus2.1841
Meldergruppe 1842;;S/1842;Haus2.1842
Meldergruppe 1843;;S/1843;Haus2.1843
Meldergruppe 1844;;S/1844;Haus2.1844
Meldergruppe 1845;;S/1845;Haus2.1845
Meldergruppe 1846;;S/1846;Haus2.1846
Meldergruppe 1847;;S/1847;Haus2.1847
Meldergruppe 1848;;S/1848;Haus2.1848
Meldergruppe 1849;;S/1849;Haus2.1849
Meldergruppe 1850;;S/1850;Haus2.1850
Meldergruppe 1851;;S/1851;Haus2.1851
Meldergruppe 1852;;S/1852;Haus2.1852
Meldergruppe 1853;;S/1853;Haus2.1853
Meldergruppe 1854;;S/1854;Haus2.1854
Meldergruppe 1855;;S/1855;Haus2.1855
Meldergruppe 1856;;S/1856;Haus2.1856
Meldergruppe 1857;;S/1857;Haus2.1857
Meldergruppe 1858;;S/1858;Haus2.1858
Meldergruppe 1859;;S/1859;Haus2.1859
Meldergruppe 1860;;S/1860;Haus2.1860
Meldergruppe 1861;;S/1861;Haus2.1861
Meldergruppe 1862;;S/1862;Haus2.1862
Meldergruppe 1863;;S/1863;Haus2.1863
Meldergruppe 1864;;S/1864;Haus2.1864
Meldergruppe 1865;;S/1865;Haus2.1865
Meldergruppe 1866;;S/1866;Haus2.1866
Meldergruppe 1867;;S/1867;Haus2.1867
Meldergruppe 1868;;S/1868;Haus2.1868
Meldergruppe 1869;;S/1869;Haus2.1869
Meldergruppe 1870;;S/1870;Haus2.1870
Meldergruppe 1871;;S/1871;Haus2.1871
Meldergruppe 1872;;S/1872;Haus2.1872
Meldergruppe 1873;;S/1873;Haus2.1873
Meldergruppe 1874;;S/1874;Haus2.1874
Meldergruppe 1875;;S/1875;Haus2.1875
Meldergruppe 1876;;S/1876;Haus2.1876
Meldergruppe 1877;;S/1877;Haus2.1877
Meldergruppe 1878;;S/1878;Haus2.1878
Meldergruppe 1879;;S/1879;Haus2.1879
Meldergruppe 1880;;S/1880;Haus2.1880
Meldergruppe 1881;;S/1881;Haus2.1881
Meldergruppe 1882;;S/1882;Haus2.1882
Meldergruppe 1883;;S/1883;Haus2.1883
Meldergruppe 1884;;S/1884;Haus2.1884
Meldergruppe 1885;;S/1885;Haus2.1885
Meldergruppe 1886;;S/1886;Haus2.1886
Meldergruppe 1887;;S/1887;Haus2.1887
Meldergruppe 1888;;S/1888;Haus2.1888
Meldergruppe 1889;;S/1889;Haus2.1889
Meldergruppe 1890;;S/1890;Haus2.1890
Meldergruppe 1891;;S/1891;Haus2.1891
Meldergruppe 1892;;S/1892;Haus2.1892
Meldergruppe 1893;;S/1893;Haus2.1893
Meldergruppe 1894;;S/1894;Haus2.1894
Meldergruppe 1895;;S/1895;Haus2.1895
Meldergruppe 1896;;S/1896;Haus2.1896
Meldergruppe 1897;;S/1897;Haus2.1897
Meldergruppe 1898;;S/1898;Haus2.1898
Meldergruppe 1899;;S/1899;Haus2.1899
Meldergruppe 1900;;S/1900;Haus2.1900
Meldergruppe 1901;;S/1901;Haus2.1901
Meldergruppe 1902;;S/1902;Haus2.1902
Meldergruppe 1903;;S/1903;Haus2.1903
Meldergruppe 1904;;S/1904;Haus2.1904
Meldergruppe 1905;;S/1905;Haus2.1905
Meldergruppe 1906;;S/1906;Haus2.1906
Meldergruppe 1907;;S/1907;Haus2.1907
Meldergruppe 1908;;S/1908;Haus2.1908
Meldergruppe 1909;;S/1909;Haus2.1909
Meldergruppe 1910;;S/1910;Haus2.1910
Meldergruppe 1911;;S/1911;Haus2.1911
Meldergruppe 1912;;S/1912;Haus2.1912
Meldergruppe 1913;;S/1913;Haus2.1913
Meldergruppe 1914;;S/1914;Haus2.1914
Meldergruppe 1915;;S/1915;Haus2.1915
Meldergruppe 1916;;S/1916;Haus2.1916
Meldergruppe 1917;;S/1917;Haus2.1917
Meldergruppe 1918;;S/1918;Haus2.1918
Meldergruppe 1919;;S/1919;Haus2.1919
Meldergruppe 1920;;S/1920;Haus2.1920
Meldergruppe 1921;;S/1921;Haus2.1921
Meldergruppe 1922;;S/1922;Haus2.1922
Meldergruppe 1923;;S/1923;Haus2.1923
Meldergruppe 1924;;S/1924;Haus2.1924
Meldergruppe 1925;;S/1925;Haus2.1925
Meldergruppe 1926;;S/1926;Haus2.1926
Meldergruppe 1927;;S/1927;Haus2.1927
Meldergruppe 1928;;S/1928;Haus2.1928
Meldergruppe 1929;;S/1929;Haus2.1929
Meldergruppe 1930;;S/1930;Haus2.1930
Meldergruppe 1931;;S/1931;Haus2.1931
Meldergruppe 1932;;S/1932;Haus2.1932
Meldergruppe 1933;;S/1933;Haus2.1933
Meldergruppe 1934;;S/1934;Haus2.1934
Meldergruppe 1935;;S/1935;Haus2.1935
Meldergruppe 1936;;S/1936;Haus2.1936
Meldergruppe 1937;;S/1937;Haus2.1937
Meldergruppe 1938;;S/1938;Haus2.1938
Meldergruppe 1939;;S/1939;Haus2.1939
Meldergruppe 1940;;S/1940;Haus2.1940
Meldergruppe 1941;;S/1941;Haus2.1941
Meldergruppe 1942;;S/1942;Haus2.1942
Meldergruppe 1943;;S/1943;Haus2.1943
Meldergruppe 1944;;S/1944;Haus2.1944
Meldergruppe 1945;;S/1945;Haus2.1945
Meldergruppe 1946;;S/1946;Haus2.1946
Meldergruppe 1947;;S/1947;Haus2.1947
Meldergruppe 1948;;S/1948;Haus2.1948
Meldergruppe 1949;;S/1949;Haus2.1949
Meldergruppe 1950;;S/1950;Haus2.1950
Meldergruppe 1951;;S/1951;Haus2.1951
Meldergruppe 1952;;S/1952;Haus2.1952
Meldergruppe 1953;;S/1953;Haus2.1953
Meldergruppe 1954;;S/1954;Haus2.1954
Meldergruppe 1955;;S/1955;Haus2.1955
Meldergruppe 1956;;S/1956;Haus2.1956
Meldergruppe 1957;;S/1957;Haus2.1957
Meldergruppe 1958;;S/1958;Haus2.1958
Meldergruppe 1959;;S/1959;Haus2.1959
Meldergruppe 1960;;S/1960;Haus2.1960
Meldergruppe 1961;;S/1961;Haus2.1961
Meldergruppe 1962;;S/1962;Haus2.1962
Meldergruppe 1963;;S/1963;Haus2.1963
Meldergruppe 1964;;S/1964;Haus2.1964
Meldergruppe 1965;;S/1965;Haus2.1965
Meldergruppe 1966;;S/1966;Haus2.1966
Meldergruppe 1967;;S/1967;Haus2.1967
Meldergruppe 1968;;S/1968;Haus2.1968
Meldergruppe 1969;;S/1969;Haus2.1969
Meldergruppe 1970;;S/1970;Haus2.1970
Meldergruppe 1971;;S/1971;Haus2.1971
Meldergruppe 1972;;S/1972;Haus2.1972
Meldergruppe 1973;;S/1973;Haus2.1973
Meldergruppe 1974;;S/1974;Haus2.1974
Meldergruppe 1975;;S/1975;Haus2.1975
Meldergruppe 1976;;S/1976;Haus2.1976
Meldergruppe 1977;;S/1977;Haus2.1977
Meldergruppe 1978;;S/1978;Haus2.1978
Meldergruppe 1979;;S/1979;Haus2.1979
Meldergruppe 1980;;S/1980;Haus2.1980
Meldergruppe 1981;;S/1981;Haus2.1981
Meldergruppe 1982;;S/1982;Haus2.1982
Meldergruppe 1983;;S/1983;Haus2.1983
Meldergruppe 1984;;S/1984;Haus2.1984
Meldergruppe 1985;;S/1985;Haus2.1985
Meldergruppe 1986;;S/1986;Haus2.1986
Meldergruppe 1987;;S/1987;Haus2.1987
Meldergruppe 1988;;S/1988;Haus2.1988
Meldergruppe 1989;;S/1989;Haus2.1989
Meldergruppe 1990;;S/1990;Haus2.1990
Meldergruppe 1991;;S/1991;Haus2.1991
Meldergruppe 1992;;S/1992;Haus2.1992
Meldergruppe 1993;;S/1993;Haus2.1993
Meldergruppe 1994;;S/1994;Haus2.1994
Meldergruppe 1995;;S/1995;Haus2.1995
Meldergruppe 1996;;S/1996;Haus2.1996
Meldergruppe 1997;;S/1997;Haus2.1997
Meldergruppe 1998;;S/1998;Haus2.1998
Meldergruppe 1999;;S/1999;Haus2.1999
Meldergruppe 2000;;S/2000;Haus2.2000
